date,material,qty_on_hand,daily_use,days_cover,unit_cost,stock_status
2023-01-01,chromite_ore,52559.4,2440.59,22.4,198.0073103585639,ok
2023-01-01,met_coke,7481.8,518.15,15.6,324.1897881678687,ok
2023-01-01,quartzite_flux,6276.5,223.47,29.9,27.34185949008841,ok
2023-01-01,electrode_paste,271.0,8.99,32.3,1801.101416425566,ok
2023-01-01,lime,1732.9,67.14,27.9,44.24364515218228,ok
2023-01-02,chromite_ore,50120.8,2438.6,21.3,204.10935492053633,ok
2023-01-02,met_coke,6986.5,495.31,14.6,316.0156749508895,ok
2023-01-02,quartzite_flux,6058.2,218.32,28.8,28.811211802847225,ok
2023-01-02,electrode_paste,262.2,8.79,31.2,1789.4922092039553,ok
2023-01-02,lime,1669.2,63.7,26.9,43.34610947417646,ok
2023-01-03,chromite_ore,47636.0,2484.84,20.3,201.0467919169186,ok
2023-01-03,met_coke,6492.1,494.42,13.5,306.74819634217033,ok
2023-01-03,quartzite_flux,5843.0,215.25,27.8,28.539404281298843,ok
2023-01-03,electrode_paste,253.7,8.54,30.2,1796.8534833595822,ok
2023-01-03,lime,1603.5,65.66,25.9,45.03376787670676,ok
2023-01-04,chromite_ore,45220.3,2415.66,19.2,196.11143799193968,ok
2023-01-04,met_coke,5975.4,516.69,12.4,318.10674919081913,ok
2023-01-04,quartzite_flux,5621.7,221.28,26.8,27.762951831431295,ok
2023-01-04,electrode_paste,245.0,8.69,29.2,1789.8906420873018,ok
2023-01-04,lime,1537.7,65.79,24.8,42.8129796931752,ok
2023-01-05,chromite_ore,134352.4,2329.88,57.2,202.5451322415005,ok
2023-01-05,met_coke,5485.8,489.63,11.4,313.25522825040946,ok
2023-01-05,quartzite_flux,5407.9,213.75,25.8,27.796301587536256,ok
2023-01-05,electrode_paste,236.4,8.59,28.1,1840.3322432797756,ok
2023-01-05,lime,1474.0,63.72,23.8,45.44620984794338,ok
2023-01-06,chromite_ore,131911.8,2440.58,56.1,193.15138199777724,ok
2023-01-06,met_coke,5005.0,480.77,10.4,306.5866233155471,ok
2023-01-06,quartzite_flux,5198.0,209.92,24.8,27.723447116354908,ok
2023-01-06,electrode_paste,228.1,8.31,27.2,1883.212995680662,ok
2023-01-06,lime,1411.5,62.52,22.8,45.51127639322905,ok
2023-01-07,chromite_ore,129525.2,2386.59,55.1,192.98831526200937,ok
2023-01-07,met_coke,4506.4,498.63,9.4,304.39325667762415,ok
2023-01-07,quartzite_flux,4981.7,216.3,23.7,29.092618296430185,ok
2023-01-07,electrode_paste,219.5,8.62,26.1,1810.3175650938774,ok
2023-01-07,lime,1346.4,65.07,21.7,44.21383473564292,ok
2023-01-08,chromite_ore,127057.9,2467.3,54.1,197.28155095597046,ok
2023-01-08,met_coke,12222.1,511.37,25.5,321.6022838557785,ok
2023-01-08,quartzite_flux,4764.0,217.71,22.7,28.272781374223758,ok
2023-01-08,electrode_paste,210.9,8.55,25.1,1806.7370985488035,ok
2023-01-08,lime,1283.3,63.11,20.7,44.921873147355456,ok
2023-01-09,chromite_ore,124694.4,2363.54,53.1,202.09110972205886,ok
2023-01-09,met_coke,11745.8,476.26,24.5,321.4780439609179,ok
2023-01-09,quartzite_flux,4545.8,218.24,21.6,27.334300336378554,ok
2023-01-09,electrode_paste,202.6,8.31,24.1,1792.0499991120803,ok
2023-01-09,lime,1218.8,64.5,19.7,43.40288674627983,ok
2023-01-10,chromite_ore,122309.5,2384.91,52.0,197.9677446560756,ok
2023-01-10,met_coke,11251.5,494.34,23.4,313.3175389041195,ok
2023-01-10,quartzite_flux,4333.2,212.51,20.6,29.098620201419813,ok
2023-01-10,electrode_paste,194.3,8.32,23.1,1891.7946673104761,ok
2023-01-10,lime,1157.7,61.05,18.7,44.151158210284756,ok
2023-01-11,chromite_ore,119839.3,2470.13,51.0,201.27986556327312,ok
2023-01-11,met_coke,10752.9,498.59,22.4,308.39084944448166,ok
2023-01-11,quartzite_flux,11579.4,214.68,55.1,28.06596674308159,ok
2023-01-11,electrode_paste,185.7,8.54,22.1,1824.1459028734066,ok
2023-01-11,lime,1095.0,62.74,17.7,43.80434552040506,ok
2023-01-12,chromite_ore,117448.4,2390.9,50.0,204.1473656257695,ok
2023-01-12,met_coke,10251.0,501.89,21.4,305.56189553496984,ok
2023-01-12,quartzite_flux,11358.7,220.78,54.1,28.82142627727603,ok
2023-01-12,electrode_paste,177.1,8.59,21.1,1804.1973565506396,ok
2023-01-12,lime,1032.5,62.53,16.7,42.82553104367797,ok
2023-01-13,chromite_ore,114964.2,2484.29,48.9,205.7424025620979,ok
2023-01-13,met_coke,9765.1,485.93,20.3,318.97786974630486,ok
2023-01-13,quartzite_flux,11145.7,212.95,53.1,28.32058033681119,ok
2023-01-13,electrode_paste,168.3,8.88,20.0,1831.0655263680846,ok
2023-01-13,lime,969.8,62.63,15.6,44.51318320454631,ok
2023-01-14,chromite_ore,112338.6,2625.52,47.8,195.63057748054155,ok
2023-01-14,met_coke,9253.8,511.22,19.3,305.3465414977368,ok
2023-01-14,quartzite_flux,10917.1,228.66,52.0,28.329032394746136,ok
2023-01-14,electrode_paste,159.0,9.28,18.9,1881.7958376423219,ok
2023-01-14,lime,901.0,68.87,14.5,45.16177991089429,ok
2023-01-15,chromite_ore,109817.2,2521.47,46.7,199.76446083157805,ok
2023-01-15,met_coke,8737.2,516.6,18.2,309.8425126894048,ok
2023-01-15,quartzite_flux,10682.3,234.72,50.9,28.496515973931466,ok
2023-01-15,electrode_paste,149.6,9.41,17.8,1838.4983347293744,ok
2023-01-15,lime,2274.0,67.7,36.7,44.30511999066181,ok
2023-01-16,chromite_ore,107420.2,2396.99,45.7,204.9700623402212,ok
2023-01-16,met_coke,8245.9,491.3,17.2,306.96389950174523,ok
2023-01-16,quartzite_flux,10458.9,223.41,49.8,27.349991701907054,ok
2023-01-16,electrode_paste,140.6,9.01,16.7,1878.2702850290625,ok
2023-01-16,lime,2210.8,63.24,35.7,44.81088894875981,ok
2023-01-17,chromite_ore,104929.2,2490.94,44.7,202.55686313777528,ok
2023-01-17,met_coke,7731.2,514.74,16.1,318.32877629970176,ok
2023-01-17,quartzite_flux,10236.9,221.99,48.7,27.792028104420286,ok
2023-01-17,electrode_paste,131.6,8.94,15.7,1908.0579401004443,ok
2023-01-17,lime,2145.2,65.55,34.6,44.72618219477751,ok
2023-01-18,chromite_ore,102495.6,2433.58,43.6,202.539834423039,ok
2023-01-18,met_coke,7217.3,513.85,15.0,306.1429028376394,ok
2023-01-18,quartzite_flux,10022.5,214.39,47.7,28.217298006982205,ok
2023-01-18,electrode_paste,122.9,8.72,14.6,1858.4181882444655,ok
2023-01-18,lime,2082.5,62.7,33.6,43.925171485497785,ok
2023-01-19,chromite_ore,100012.2,2483.42,42.6,200.1707521290868,ok
2023-01-19,met_coke,6707.8,509.5,14.0,318.3695180734182,ok
2023-01-19,quartzite_flux,9799.8,222.7,46.7,28.708876584563292,ok
2023-01-19,electrode_paste,340.2,8.9,40.5,1797.833705637829,ok
2023-01-19,lime,2018.2,64.31,32.6,44.304391324427044,ok
2023-01-20,chromite_ore,97488.0,2524.26,41.5,201.47165457015157,ok
2023-01-20,met_coke,6215.9,491.91,12.9,315.5752849177058,ok
2023-01-20,quartzite_flux,9582.9,216.95,45.6,28.5986724571859,ok
2023-01-20,electrode_paste,331.2,9.0,39.4,1861.2371679095884,ok
2023-01-20,lime,1952.7,65.5,31.5,43.72286164508931,ok
2023-01-21,chromite_ore,94962.1,2525.91,40.4,204.0365417838807,ok
2023-01-21,met_coke,5691.4,524.54,11.9,313.99141992775725,ok
2023-01-21,quartzite_flux,9358.2,224.66,44.6,27.258744287045566,ok
2023-01-21,electrode_paste,322.3,8.86,38.4,1809.661644412671,ok
2023-01-21,lime,1886.4,66.35,30.4,45.58796243299492,ok
2023-01-22,chromite_ore,92445.9,2516.18,39.3,195.31488466277293,ok
2023-01-22,met_coke,5189.8,501.63,10.8,310.0285926573288,ok
2023-01-22,quartzite_flux,9129.2,229.04,43.5,27.911351875084595,ok
2023-01-22,electrode_paste,313.2,9.14,37.3,1888.188400925142,ok
2023-01-22,lime,1821.6,64.81,29.4,44.554672038090494,ok
2023-01-23,chromite_ore,89893.7,2552.19,38.3,197.63363371816325,ok
2023-01-23,met_coke,4696.1,493.65,9.8,322.8049307552321,ok
2023-01-23,quartzite_flux,8902.1,227.06,42.4,28.183397236529643,ok
2023-01-23,electrode_paste,304.3,8.91,36.2,1812.0722540375648,ok
2023-01-23,lime,1754.8,66.79,28.3,44.215688118247755,ok
2023-01-24,chromite_ore,87485.5,2408.15,37.2,201.52658729638313,ok
2023-01-24,met_coke,11748.6,519.71,24.5,323.17727484983385,ok
2023-01-24,quartzite_flux,8674.9,227.19,41.3,28.203534026637225,ok
2023-01-24,electrode_paste,295.3,8.93,35.2,1844.3828878195523,ok
2023-01-24,lime,1689.7,65.05,27.3,43.0479011826604,ok
2023-01-25,chromite_ore,85080.7,2404.86,36.2,195.28566755293195,ok
2023-01-25,met_coke,11235.0,513.55,23.4,305.8249774480673,ok
2023-01-25,quartzite_flux,8458.3,216.62,40.3,28.23528355627153,ok
2023-01-25,electrode_paste,286.7,8.66,34.1,1805.821020991651,ok
2023-01-25,lime,1624.5,65.27,26.2,43.813727274669574,ok
2023-01-26,chromite_ore,82606.0,2474.64,35.2,204.70316601806428,ok
2023-01-26,met_coke,10743.9,491.16,22.4,322.5893911303173,ok
2023-01-26,quartzite_flux,8233.5,224.78,39.2,28.785011663338373,ok
2023-01-26,electrode_paste,277.8,8.85,33.1,1864.6748894815626,ok
2023-01-26,lime,1559.1,65.34,25.1,44.80672629775086,ok
2023-01-27,chromite_ore,80203.7,2402.35,34.1,205.3391631471666,ok
2023-01-27,met_coke,10235.9,507.95,21.3,319.7072139325489,ok
2023-01-27,quartzite_flux,8014.1,219.46,38.2,27.184298539274963,ok
2023-01-27,electrode_paste,269.0,8.85,32.0,1850.1260873678916,ok
2023-01-27,lime,1494.1,65.03,24.1,43.726328526819195,ok
2023-01-28,chromite_ore,77686.6,2517.12,33.1,199.37177196053096,ok
2023-01-28,met_coke,9717.9,518.06,20.2,323.8233123258078,ok
2023-01-28,quartzite_flux,7790.2,223.88,37.1,27.786544512549092,ok
2023-01-28,electrode_paste,260.0,9.02,30.9,1854.7782218991913,ok
2023-01-28,lime,1426.7,67.42,23.0,44.662720633506765,ok
2023-01-29,chromite_ore,75051.0,2635.61,31.9,196.01316424494502,ok
2023-01-29,met_coke,9187.6,530.25,19.1,303.1868780336332,ok
2023-01-29,quartzite_flux,7564.1,226.06,36.0,28.06889066687332,ok
2023-01-29,electrode_paste,251.0,8.92,29.9,1864.3558265193085,ok
2023-01-29,lime,1358.2,68.43,21.9,44.97993368170118,ok
2023-01-30,chromite_ore,72542.7,2508.25,30.9,200.43067305660375,ok
2023-01-30,met_coke,8679.0,508.62,18.1,303.5409662299433,ok
2023-01-30,quartzite_flux,7345.6,218.54,35.0,28.443792011434873,ok
2023-01-30,electrode_paste,241.8,9.22,28.8,1786.8354572042324,ok
2023-01-30,lime,1291.9,66.34,20.8,44.99310695887828,ok
2023-01-31,chromite_ore,69929.4,2613.26,29.8,199.6165399309458,ok
2023-01-31,met_coke,8151.7,527.27,17.0,317.8564728047963,ok
2023-01-31,quartzite_flux,7111.6,233.97,33.9,27.399687492917526,ok
2023-01-31,electrode_paste,232.4,9.4,27.7,1788.1510415774421,ok
2023-01-31,lime,1222.9,68.98,19.7,42.916360513803866,ok
2023-02-01,chromite_ore,67436.8,2492.68,28.7,192.1139728688425,ok
2023-02-01,met_coke,7634.8,516.94,15.9,309.94240551150784,ok
2023-02-01,quartzite_flux,6889.3,222.36,32.8,28.044136715175657,ok
2023-02-01,electrode_paste,223.4,9.02,26.6,1883.6747410115977,ok
2023-02-01,lime,1154.3,68.57,18.6,44.68990713544261,ok
2023-02-02,chromite_ore,64977.2,2459.6,27.6,196.15411641467853,ok
2023-02-02,met_coke,7108.1,526.72,14.8,304.5779613272923,ok
2023-02-02,quartzite_flux,6665.7,223.6,31.7,29.007309053697625,ok
2023-02-02,electrode_paste,214.2,9.24,25.5,1837.7629692038972,ok
2023-02-02,lime,1087.3,67.05,17.5,44.086776442930315,ok
2023-02-03,chromite_ore,62451.3,2525.82,26.6,192.49771724340494,ok
2023-02-03,met_coke,6610.7,497.33,13.8,316.0541018693922,ok
2023-02-03,quartzite_flux,6446.9,218.76,30.7,28.46546250656753,ok
2023-02-03,electrode_paste,205.3,8.81,24.4,1898.9999478868635,ok
2023-02-03,lime,1020.4,66.9,16.5,44.19794042421185,ok
2023-02-04,chromite_ore,59833.5,2617.83,25.5,195.81797110321835,ok
2023-02-04,met_coke,6084.8,525.91,12.7,306.953008012694,ok
2023-02-04,quartzite_flux,6211.8,235.15,29.6,28.773212528474097,ok
2023-02-04,electrode_paste,195.9,9.43,23.3,1897.8190351816847,ok
2023-02-04,lime,950.6,69.83,15.3,43.38327559342633,ok
2023-02-05,chromite_ore,57161.1,2672.38,24.3,199.97701483213868,ok
2023-02-05,met_coke,5555.2,529.59,11.6,314.87856588793835,ok
2023-02-05,quartzite_flux,5981.2,230.58,28.5,27.725563893643464,ok
2023-02-05,electrode_paste,186.8,9.17,22.2,1795.4167250420778,ok
2023-02-05,lime,2765.8,68.71,44.6,44.28460494888778,ok
2023-02-06,chromite_ore,54647.8,2513.33,23.3,198.49660654075626,ok
2023-02-06,met_coke,5048.7,506.58,10.5,320.6129195578972,ok
2023-02-06,quartzite_flux,5759.7,221.48,27.4,28.564580603185533,ok
2023-02-06,electrode_paste,177.6,9.16,21.1,1858.8431326131722,ok
2023-02-06,lime,2697.7,68.04,43.5,43.576435085548,ok
